Class Name                                                                                                                                                                                                                                                                                        | Shallow Heap | Retained Heap | Percentage
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
class java.io.ObjectStreamClass$Caches @ 0x2b777718                                                                                                                                                                                                                                               |           16 |        60,328 |      6.46%
javax.swing.UIManager$LAFState @ 0x22e9d6d8                                                                                                                                                                                                                                                       |           40 |        44,456 |      4.76%
class java.lang.System @ 0x2b746bb0                                                                                                                                                                                                                                                               |           24 |        41,712 |      4.47%
class sun.java2d.loops.GraphicsPrimitiveMgr @ 0x2b754658                                                                                                                                                                                                                                          |           24 |        33,576 |      3.60%
javax.swing.JTabbedPane @ 0x22ed28d0                                                                                                                                                                                                                                                              |          360 |        30,128 |      3.23%
java.io.PrintStream @ 0x22ea4120                                                                                                                                                                                                                                                                  |           32 |        25,072 |      2.69%
sun.net.www.MimeTable @ 0x22ed1620                                                                                                                                                                                                                                                                |           16 |        23,616 |      2.53%
java.lang.Thread @ 0x22f378e8  RMI TCP Connection(3)-10.18.108.90                                                                                                                                                                                                                                 |          104 |        22,592 |      2.42%
java.lang.Thread @ 0x22f461d8  RMI TCP Connection(5)-10.18.108.90                                                                                                                                                                                                                                 |          104 |        20,976 |      2.25%
class java.awt.Toolkit @ 0x2b74f260                                                                                                                                                                                                                                                               |           40 |        18,792 |      2.01%
java.lang.Thread @ 0x22f22418  RMI TCP Connection(1)-10.18.108.90                                                                                                                                                                                                                                 |          104 |        18,280 |      1.96%
java.lang.Thread @ 0x22f37b28  RMI TCP Connection(2)-10.18.108.90                                                                                                                                                                                                                                 |          104 |        18,248 |      1.95%
java.lang.Thread @ 0x22f46518  RMI TCP Connection(4)-10.18.108.90                                                                                                                                                                                                                                 |          104 |        18,248 |      1.95%
sun.security.provider.Sun @ 0x22f06060                                                                                                                                                                                                                                                            |           88 |        16,720 |      1.79%
sun.awt.windows.WDesktopProperties @ 0x22e9bdc8                                                                                                                                                                                                                                                   |           32 |        15,256 |      1.63%
com.sun.jmx.mbeanserver.OpenConverter$CompositeConverter @ 0x22ee8e10                                                                                                                                                                                                                             |           40 |        13,560 |      1.45%
